ID2	ID1	fract_sites_IBD
J0070804_1610	J0030406_1705	0.02549
J0070804_1610	J0020302_1506	0
J0070804_1610	J0050611_1611	0
J0101103_1701	J0020302_1506	0.00979
J0101103_1701	J0060701_1511	0.01284
J0101103_1701	J0030406_1702	0.01707
J0101103_1701	J0030406_1705	0.01894
J0101103_1701	J0050607_1412	0.01193
J0101103_1701	J0070804_1610	0.02474
J0101103_1701	J0050617_1611	0
J0101103_1701	J0010103_1412	0.03158
J0101103_1701	J0030409_1610	0.02363
J0101103_1701	J0050611_1611	0.01039
J0101103_1701	J0030406_1701	0.01671
J0101103_1702	J0030409_1610	0.02175
J0101103_1702	J0070804_1610	0.02378
J0101103_1702	J0050611_1611	0.00967
J0101103_1702	J0030406_1701	0.01589
J0101103_1702	J0030406_1702	0.01639
J0101103_1702	J0050607_1412	0.01146
J0101103_1702	J0010103_1412	0.0312
J0101103_1702	J0101103_1701	1
J0101103_1702	J0030406_1705	0.0154
J0101103_1702	J0050617_1611	0
J0101103_1702	J0060701_1511	0.01148
J0101103_1702	J0020302_1506	0.00997
J0101103_1703	J0101103_1702	0.99999
J0101103_1703	J0010103_1412	0
J0101103_1703	J0050607_1412	0
J0101103_1703	J0070804_1610	0
J0101103_1703	J0030406_1701	0
J0101103_1703	J0030406_1705	0
J0101103_1703	J0101103_1701	0.99999
J0101103_1703	J0050611_1611	0
J0101103_1703	J0030406_1702	0
J0101103_1703	J0060701_1511	0
J0101103_1703	J0050617_1611	0
J0101103_1703	J0030409_1610	0
J0101103_1703	J0020302_1506	0
J0111201_1412	J0101103_1702	0
J0111201_1412	J0050617_1611	0
J0111201_1412	J0020302_1506	0
J0111201_1412	J0010103_1412	0
J0111201_1412	J0101103_1703	0
J0111201_1412	J0060701_1511	0
J0111201_1412	J0030409_1610	0.00186
J0111201_1412	J0050611_1611	0
J0111201_1412	J0050607_1412	0
J0111201_1412	J0030406_1705	0
J0111201_1412	J0030406_1701	0
J0111201_1412	J0030406_1702	0
J0111201_1412	J0101103_1701	0
J0111201_1412	J0070804_1610	0
J0111208_1610	J0020302_1506	0.02973
J0111208_1610	J0030406_1702	0.02252
J0111208_1610	J0050607_1412	0.01612
J0111208_1610	J0070804_1610	0
J0111208_1610	J0111201_1412	0
J0111208_1610	J0101103_1703	0
J0111208_1610	J0060701_1511	0.02006
J0111208_1610	J0030406_1705	0.02163
J0111208_1610	J0030406_1701	0.02161
J0111208_1610	J0101103_1701	0.00923
J0111208_1610	J0030409_1610	0.0052
J0111208_1610	J0050617_1611	0.02021
J0111208_1610	J0050611_1611	0.99774
J0111208_1610	J0101103_1702	0.00919
J0111208_1610	J0010103_1412	0.01212
J0131403_1511	J0111208_1610	0.00881
J0131403_1511	J0050611_1611	0.00902
J0131403_1511	J0030406_1702	0
J0131403_1511	J0101103_1702	0.02017
J0131403_1511	J0101103_1703	0
J0131403_1511	J0060701_1511	0.02808
J0131403_1511	J0030406_1705	0
J0131403_1511	J0111201_1412	0
J0131403_1511	J0030406_1701	0
J0131403_1511	J0070804_1610	0
J0131403_1511	J0010103_1412	0
J0131403_1511	J0101103_1701	0.0215
